City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,mhamid,29.82,-5.72,38.08,15,27,10.24,MA,1721775252
352,tazacorte,28.629,-17.9293,23.97,68,0,7.2,ES,1721775253
353,phon charoen,18.0333,103.1667,26.71,92,100,5.29,TH,1721775254
354,akureyri,65.6835,-18.0878,12.96,71,75,6.17,IS,1721775255
355,chaoyang,41.5703,120.4586,25.24,73,7,1.67,CN,1721775258
356,daloa,6.8774,-6.4502,22.7,92,97,2.32,CI,1721775260
357,asosa,10.0667,34.5333,14.97,93,97,1.27,ET,1721775261
358,sorong,-0.8833,131.25,25.14,91,100,5.21,ID,1721775262
359,mahajanga,-15.7167,46.3167,21.01,88,20,1.54,MG,1721775263
360,rio grande,-32.035,-52.0986,16.06,89,88,3.73,BR,1721775017
